ID,Land Cover Class,Color Palette
1,Acacia plantation,#FFEAA7
2,Cane,#AED6F1
3,Cleared Land,#F9E79F
4,Coconut monoculture,#D7BDE2
5,Coffee Agroforest,#85C1E9
6,Grass,#F8C471
7,Logged over forest-high density,#F1948A
8,Logged Over Forest Low Density,#BB8FCE
9,Logged over swamp forest,#82E0AA
10,Mixed Garden,#98D8C8
11,Oil palm monoculture,#45B7D1
12,Other Crops,#A3E4D7
13,Rice Field,#DDA0DD
14,Rubber agroforest,#F7DC6F
15,Rubber monoculture,#FF6B6B
16,Settlement,#4ECDC4
17,Shrub,#85C1E9
18,Tea plantation,#D5A6BD
19,Water Body,#96CEB4
